"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"2397",269040,2795,2795,1,2,9,2,0,2,2,4,2,2
"2398",500000,3600,3600,1,2,9,3,0,2,2,2,2,2
"2399",158800,99999,99999,1,2,2,6,0,2,2,2,1,2
"2400",169000,99999,99999,1,1,2,4,0,2,2,2,1,1
"2401",67000,99999,99999,1,2,9,8,0,2,2,2,2,2
"2402",135500,99999,99999,1,2,9,4,0,2,2,2,2,2
"2403",12500,1050,1050,1,2,9,4,0,2,2,2,2,2
"2404",35000,1600,1600,1,1,8,4,0,2,2,2,1,2
"2405",160000,2400,2400,1,8,8,5,0,2,2,0,8,8
"2406",110000,99999,99999,1,2,9,5,2,2,2,2,2,2
"2407",177000,99999,99999,1,2,9,4,0,0,0,0,2,1
"2408",1273606,99999,99999,1,2,9,5,0,2,2,2,1,2
"2409",23164,99999,99999,1,2,9,7,0,2,2,2,2,2
"2410",552000,1150,1150,1,2,9,3,0,2,2,2,1,2
"2411",183000,2400,2400,1,2,9,4,2,2,2,2,2,2
"2412",134000,1300,1300,1,2,9,3,0,2,2,2,1,2
"2413",223300,1500,1500,1,2,2,5,0,0,0,0,1,2
"2414",30000,1300,1300,1,2,9,5,2,2,2,2,2,2
"2415",65000,700,700,1,1,3,6,0,2,2,2,1,2
"2416",106000,1575,1575,1,2,9,5,0,2,2,2,2,2
"2417",100000,99999,99999,1,1,9,8,0,2,2,2,1,2
"2418",93000,3300,3300,1,2,9,4,0,2,2,2,2,2
"2419",140000,2500,2500,1,2,9,4,0,0,2,2,2,2
"2420",50000,1110,1110,1,2,9,2,0,0,2,2,2,2
"2421",31000,2100,2100,1,2,9,8,0,0,2,2,2,2
"2422",187900,99999,99999,1,2,9,5,0,2,2,2,2,2
"2423",50000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2424",140000,3200,3200,1,2,9,5,0,2,2,2,2,2
"2425",40000,1750,1750,1,2,9,2,0,2,2,2,2,2
"2426",9999999,1650,1650,1,2,9,2,0,2,2,2,1,2
"2427",783658,2000,2000,1,2,9,5,0,2,2,2,2,1
"2428",558000,1700,1700,1,2,9,4,0,2,2,2,2,2
"2429",18000,99999,99999,1,2,9,1,2,2,2,2,1,2
"2430",50000,99999,99999,1,2,9,4,2,2,2,2,1,2
"2431",76800,3450,3450,1,2,9,5,2,2,2,2,1,2
"2432",150000,2200,2200,1,2,9,4,2,2,2,2,1,2
"2433",129960,99999,99999,1,2,2,8,4,0,2,2,1,1
"2434",73300,99999,99999,1,2,8,8,0,2,2,2,8,8
"2435",39600,900,900,1,8,8,3,0,0,2,0,8,8
"2436",32000,2750,2750,1,2,8,6,0,0,2,2,8,8
"2437",4800,1100,1100,1,2,9,5,0,0,2,2,2,2
"2438",160000,99999,99999,1,2,9,8,4,0,2,0,2,2
"2439",9233,1700,1700,1,2,9,6,0,2,2,2,2,2
"2440",245000,99999,99999,1,2,9,4,0,2,2,2,2,2
"2441",92000,2600,2600,1,2,9,2,0,2,2,2,2,2
"2442",9600,99999,99999,1,2,2,5,0,2,2,2,2,2
"2443",25600,1200,1200,1,2,9,3,0,2,2,2,2,2
"2444",150000,99999,99999,1,2,9,8,2,2,2,0,1,1
"2445",162500,1900,1900,1,2,9,5,0,2,2,2,2,1
"2446",56000,1425,1425,1,2,9,4,0,0,2,2,2,2
"2447",52000,1032,1032,1,2,9,3,0,0,2,2,2,2
"2448",50000,650,650,1,1,2,4,0,2,2,2,2,2
"2449",49344,700,700,1,1,8,5,0,2,2,2,2,1
"2450",101000,750,750,1,1,9,5,2,2,2,2,1,2
"2451",22000,99999,99999,1,2,9,4,0,2,2,2,2,2
"2452",28000,1500,1500,1,2,2,8,0,2,2,2,1,2
"2453",50000,99999,99999,1,2,9,8,2,2,2,2,2,2
"2454",38300,836,836,1,2,9,3,0,2,2,2,2,2
"2455",35000,1032,1032,1,2,5,3,0,2,2,2,2,2
"2456",17000,1032,1032,1,2,9,3,0,2,2,2,2,2
"2457",35000,950,950,1,2,9,3,0,2,2,2,2,2
"2458",22000,1425,1425,1,2,9,3,0,2,2,2,1,2
"2459",165000,99999,99999,1,1,9,7,0,2,2,2,2,1
"2460",48000,1050,1000,1,2,9,3,0,2,2,2,2,2
"2461",39680,950,950,1,2,5,3,2,2,2,2,1,1
"2462",24000,99999,99999,1,2,9,2,0,2,2,2,2,2
"2463",5000,99999,99999,1,2,9,5,0,0,2,2,2,2
"2464",108000,2250,2250,1,2,9,5,0,2,2,2,2,2
"2465",1050,1400,1400,1,2,9,2,4,0,2,2,1,2
"2466",55480,850,850,1,2,9,5,0,2,2,2,2,1
"2467",35000,300,300,1,2,9,4,0,2,2,2,1,2
"2468",84000,1600,1600,1,2,9,4,0,0,2,2,2,1
"2469",90000,300,300,1,2,9,3,0,2,2,2,2,2
"2470",1392606,7688,7711,1,2,9,6,0,2,2,2,2,2
"2471",128000,99999,99999,1,2,9,5,4,2,2,2,1,2
"2472",175000,99999,99999,1,1,9,8,0,2,2,2,2,2
"2473",107000,600,600,1,2,9,3,0,0,0,0,2,2
"2474",281669,99999,99999,1,2,9,8,0,2,2,2,2,2
"2475",165000,2100,2100,1,1,9,2,0,2,2,2,1,2
"2476",69000,1650,1650,1,2,9,2,4,2,2,2,2,2
"2477",160000,1400,99998,1,2,9,6,0,0,2,2,2,2
"2478",100000,99999,99999,1,8,9,5,0,2,2,2,2,2
"2479",50000,1050,1050,1,2,9,1,2,2,2,2,2,2
"2480",20000,1375,1375,1,2,9,2,2,2,2,2,1,2
"2481",27000,1350,1350,1,1,4,6,4,2,2,2,1,1
"2482",43328,1300,1300,1,2,9,4,0,2,2,2,2,1
"2483",33630,1269,1269,1,2,9,6,0,0,0,0,1,1
"2484",111800,99999,99999,1,2,2,4,0,2,2,2,1,2
"2485",217000,1000,1000,1,1,9,5,4,2,2,2,1,2
"2486",80000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2487",68460,1430,1430,1,2,9,5,2,2,2,2,1,1
"2488",9600,1850,1850,1,1,9,6,0,2,2,2,2,2
"2489",9999999,99999,99999,1,1,9,3,0,2,2,2,2,2
"2490",36000,2250,385,1,2,9,6,0,2,2,2,2,2
"2491",90000,99999,99999,1,1,9,4,0,2,2,2,2,2
"2492",35400,665,665,1,8,8,6,0,2,2,2,8,8
"2493",9999999,1375,1375,1,8,9,3,0,2,2,2,2,2
"2494",896,1700,0,1,1,9,4,0,2,2,2,1,2
"2495",27000,1500,1500,1,1,2,4,0,2,2,2,1,2
"2496",26000,99999,99999,1,1,9,8,0,0,0,0,1,2
